index,sentences
0,"The Electra Fire was a wildfire that burned northeast of Mokelumne Hill in Amador and Calaveras Counties, California that started on July 4, 2022."
1,"The wildfire burned a total of 4,478 acres(1,812 ha) and was fully contained on July 28, 2022."
2,"-Background-
In the immediate impact zone of the Electra Fire, the historic September 2015 Butte Fire destroyed much of native vegetation throughout the canyons the Electra Fire would later burn in."
3,"The Butte Fire was a significant, deadly and destructive wildfire ignited when a tree branch came in contact with a Pacific Gas & Electric Company powerline."
4,"The Butte Fire would later grow to 70,868 acres, destroyed 877 homes and businesses and damage 44 more—as well as lead to the deaths of two civilians."
5,"By contrast, the Electra Fire—while still growing to a significant 4,478 acres—was far less destructive."
6,"-Progression-
The Electra Fire ignited at 6:42 pm PDT and rapidly grew at the site of a recreation area, forcing 85 to 100 nearby civilians celebrating the Independence Day holiday at a river to shelter in place at a PG&E facility as the fire passed through the area."
7,The crowd of roughly 100 people was safely evacuated from the facility later that night.
8,Immediate Mandatory evacuation orders and warnings were put in place which combined affected about 500 people in Amador County and 300 to 400 people in Calaveras County.
9,The fire—dubbed the Electra Fire due to its ignition source being close in proximity to Electra Road along the North Fork of the Mokelumne River and Vaught's Beach—was first reported at 75 acres in size and burning at a dangerous rate of spread in dry grass had ballooned to 959 acres in size by 7 pm.
10,"Over 1,300 firefighting personnel were ordered to contain the inferno and by 10 pm, fire activity had relatively diminished allowing crews to conduct controlled burns as a form of containment for the fire."
11,"Throughout the night, the fire grew an additional 2,000 acres in size to some 3,034 acres by morning time the next day with containment remaining at zero percent."
12,== References ==
