,sentences
0,"The 1933 Trinidad hurricane was a deadly and destructive tropical cyclone, one of only three Atlantic hurricanes on record to produce hurricane-force winds in Venezuela."
1,"The second tropical storm and first hurricane of the extremely active 1933 Atlantic hurricane season, the system formed on June 24 to the east of the Lesser Antilles, unusually early for the Main Development Region(MDR) so early in the calendar year."
2,It moved westward and attained hurricane status before striking Trinidad on June 27.
3,"The storm caused heavy damage on the island, estimated at $3 million."
4,"The strong winds downed trees and destroyed hundreds of houses, leaving about 1,000 people homeless."
5,"Later, the hurricane crossed the northeastern portion of Venezuela, where power outages and damaged houses were reported."
6,"After entering the Caribbean Sea, the hurricane maintained a northwest trajectory."
7,"It passed south of Jamaica on July 1, where heavy rainfall flooded roads and railways."
8,The hurricane crossed western Cuba on July 3.
9,"High winds on the island destroyed hundreds of houses, and the storm's rainfall damaged the tobacco crop."
10,"Upon entering the Gulf of Mexico, the hurricane turned to the west and attained peak winds of 110 mph(180 km/h) on July 5."
11,It struck northeastern Mexico on July 8 and quickly dissipated.
12,"Upon its final landfall, the storm caused heavy damage in Mexico, and in southern Texas, the storm ended a prolonged drought."
13,"-Meteorological history-
A tropical wave was first observed near 40° W on June 23."
14,"The next day, a ship in the region observed a closed circulation, suggesting that the tropical wave spawned a tropical depression about 1,300 mi(2,100 km) east of Trinidad."
15,The storm moved westward and gradually intensified into a tropical storm.
16,"By June 27, it attained hurricane strength about 175 mi(282 km) east of Trinidad, based on a ship report of a barometric pressure of 991 mbar(29.27 inHg)."
17,"At around 21:00 UTC on June 27, the hurricane made landfall on extreme southern Trinidad with winds of about 85 mph(137 km/h)."
18,"After crossing the island, the hurricane struck the Paria Peninsula of northern Venezuela at the same intensity at 02:00 UTC on June 28."
19,"About two hours after striking Venezuela, the hurricane entered the southeastern Caribbean Sea."
20,For the next few days it maintained its intensity while tracking to the northwest.
21,"A ship on June 30 reported a pressure of 982 mb(29.0 inHg), suggesting winds of about 100 mph(160 km/h)."
22,"The next day, the hurricane passed south of Jamaica and turned more to the west before resuming a northwest motion."
23,"At around 06:00 UTC on July 3, the hurricane made landfall on western Cuba with winds of 100 mph(160 km/h)."
24,"It weakened while crossing the island, although it maintained hurricane status upon entering the Gulf of Mexico."
25,"On July 4, a strong high pressure area over the eastern United States turned the hurricane to the west."
26,"After restrengthening, the storm attained peak winds of 110 mph(180 km/h) on July 5, based on a ship report of a pressure of 965 mbar(28.5 inHg)."
27,"It maintained that intensity for about 18 hours, and during that time the hurricane turned to the southwest."
28,"At 01:00 UTC on July 8, the hurricane made its final landfall near La Pesca, about halfway between Tampico, Tamaulipas and Brownsville, Texas."
29,The intensity at landfall was estimated at 85 mph(137 km/h).
30,"After moving ashore, the hurricane rapidly weakened over the high terrain of northeastern Mexico, and the storm dissipated at around 12:00 UTC on July 8."
31,"-Impact-
Throughout its path, the hurricane killed at least 35 people altogether in Trinidad, Venezuela, Jamaica, and Cuba."
32,"The hurricane first affected Trinidad, causing about $3 million in damage in the southern portion of the island."
33,"The storm destroyed 300 houses in one village, and thousands were left homeless."
34,"Trees across the island fell down and blocked many roads, including one that struck a car and seriously injured one man."
35,Heavy damage was also reported to the cocoa industry.
36,"High winds destroyed about 60 oil derricks, and an 11 mi(18 km) oil supply line was disrupted due to fallen trees."
37,"This represented a significant loss to the island's oil industry, one of two such events in the 1930s."
38,"High winds downed power lines across the island, which were repaired by three days after the storm struck."
39,The storm also dropped heavy rainfall and destroyed the roofs of many houses.
40,Little damage occurred in the capital city of Port of Spain.
41,"There were 13 deaths in Trinidad, some of whom drowned after their boats sank."
42,"After the storm, medical assistance and relief supplies were sent via boat to Cedros, which was one of the most significantly affected areas."
43,"After affecting Trinidad, the hurricane struck northeastern Venezuela, where damage was heaviest in Carúpano, Río Caribe, and Isla Margarita."
44,High winds cut telephone and telegraph lines for several days.
45,"The storm destroyed several houses and fishing boats, resulting in several million bolívares in damage."
46,"Officials reported that there were ""a number of lives lost"" due to the hurricane."
47,"Striking with winds of 85 mph(137 km/h), the storm was one of only three Atlantic tropical cyclones on record at the time to affect the country with hurricane-force winds, after hurricanes in 1877 and 1892."
48,"After moving across the Caribbean, the hurricane affected Jamaica."
49,"High winds downed about 200,000 banana trees, while flooding in the western portion of the island affected roads and railways."
50,"Later, the hurricane crossed western Cuba, killing 22 people and causing $4 million in damage."
51,The hurricane destroyed about 100 houses in Pinar del Río Province from the combination of strong winds and flooding from heavy rainfall.
52,One person died after her house collapsed in the province.
53,"The rainfall caused four rivers to exceed their banks, and the storm-related flooding left serious damage to the tobacco industry."
54,The storm also damaged crops in the region.
55,High winds downed telephone and telegraph lines in western Cuba.
56,"Little damage was reported in the capital city of Havana, despite the report of a peak wind gust of 70 mph(110 km/h)."
57,"After the storm, Cuban President Gerardo Machado utilized the military to assist in relief operations and prevent looting."
58,"The threat of the storm prompted the United States Weather Bureau to issue southeast storm warnings for Key West, Florida."
59,Light rainfall from the storm was reported in Miami.
60,"Before the storm made its final landfall, the Weather Bureau issued northeast storm warnings from Brownsville to Port O'Connor, Texas on July 5."
61,"That same day, a hurricane warning was also issued for Brownsville."
62,"The hurricane ultimately struck a sparsely-populated area of northeastern Mexico, causing heavy damage in the country."
63,The hurricane killed three people in Tamaulipas.
64,"High winds downed trees and power lines, and damaged the roofs of several houses."
65,"Along the beach near Tampico, high tides damaged coastal structures and flooded some cars."
66,"The effects extended into Texas, and Brazos Island, Port Isabel, and Port Aransas were flooded due to the storm surge."
67,"High tides damaged ten piers in Port Isabel, and there was damage to buildings along the coast."
68,The storm damaged the cotton and fruit crops in south Texas from high winds and rainfall.
69,Rains from the storm ended an extended drought in the Brownsville area.
70,"-Records-
The 1933 Monthly Weather Review summary of the season noted that the hurricane was the ""earliest known in [the] general area also the only one in a record of nearly 50 years to pass south of the Island of Trinidad and over the northeast corner of Venezuela."""
71,It became a tropical storm farther east in the MDR at an earlier date than any prior system on record in the calendar year; this distinction was later surpassed by Tropical Storm Bret in 2023.
72,It was also the easternmost Atlantic hurricane in June until Hurricane Beryl in 2024.
73,"-Notes-

== References =="
