,sentences
0,Hurricane Bob was the first Atlantic tropical cyclone to be officially designated using a masculine name after the discontinuation of Joint Army/Navy Phonetic Alphabet names.
1,Bob brought moderate damage to portions of the United States Gulf Coast and areas farther inland in July 1979.
2,"The storm was the first hurricane in the Gulf of Mexico to form in the month of July since 1959, and was the fifth tropical cyclone to form during the annual hurricane season."
3,"Though the origin of Bob can be traced back to a tropical wave near the western coast of Africa in late June, Bob formed from a tropical depression in the southwestern Gulf of Mexico on July 9."
4,"Tracking in a general northward direction, favorable conditions allowed for quick strengthening."
5,"Less than a day after formation, the system reached tropical storm intensity, followed by hurricane intensity on July 11."
6,"Shortly after strengthening into a hurricane, Bob reached its peak intensity with maximum sustained winds of 75 mph(121 km/h) and a minimum barometric pressure of 986 mbar(hPa; 29.12 inHg)."
7,"At the same intensity, Bob made landfall west of Grand Isle, Louisiana, and rapidly weakened after moving inland."
8,"However, the resulting tropical depression persisted for several days as it paralleled the Mississippi and Ohio rivers."
9,"On July 16, the system emerged into the western Atlantic, where it was subsequently absorbed by a nearby low-pressure area."
10,Widespread offshore and coastal evacuations took place along the United States Gulf Coast in preparation for Hurricane Bob.
11,Effects from the hurricane on the United States were mostly marginal and typical of a minimal hurricane.
12,"The cyclone produced a moderate storm surge, damaging some coastal installments and causing coastal inundation."
13,"Strong winds were also associated with Bob's landfall, though no stations observed winds of hurricane force."
14,"The winds downed trees and blew out windows, in addition to causing widespread power outages."
15,"Heavy rainfall was also reported in some locations, peaking at 7.16 in(182 mm) in Louisiana."
16,"Further inland, the torrential rains led to flooding in Indiana, resulting in more considerable damage as opposed to the coast."
17,"Bob also spawned eight tornadoes, with two causing significant damage."
18,"Overall, Bob was responsible for one death and $20 million in damage."
19,"-Meteorological history-
The origin of Hurricane Bob can be traced to a tropical wave that was first located near Cape Verde towards the end of June."
20,"The disturbance tracked westward with minimal signs of development, and reached the northwestern Caribbean Sea on July 6."
21,"The following day, the tropical system tracked across the Yucatán Peninsula the following day, and upon emerging into the Gulf of Mexico, the cluster of storms began to develop a weak circulation center."
22,"This enabled for more rapid tropical cyclogenesis, and at 1200 UTC on July 9, the disturbance was analyzed to have organized into a tropical depression – the third of such in the Atlantic that year."
