index,sentences
0,Tropical Storm Helene was a long-lived tropical cyclone that oscillated for ten days between a tropical wave and a 70 mph(110 km/h) tropical storm.
1,"It was the twelfth tropical cyclone and eighth tropical storm of the 2000 Atlantic hurricane season, forming on September 15 east of the Windward Islands."
2,"After degenerating into a tropical wave, the system produced flooding and mudslides in Puerto Rico."
3,"It reformed into a tropical depression on September 19 south of Cuba, and crossed the western portion of the island the next day while on the verge of dissipation."
4,"However, it intensified into a tropical storm in the Gulf of Mexico, reaching its peak intensity while approaching the northern Gulf Coast."
5,"The storm rapidly weakened before moving ashore near Fort Walton Beach, Florida on September 22."
6,It produced heavy rainfall along the Florida Panhandle that reached 9.56 in(243 mm).
7,The rains flooded hundreds of houses and caused the Sopchoppy River to reach a record crest.
8,"Gusty winds left about 5,000 people without power, though the rains alleviated drought conditions."
9,"In South Carolina, Helene spawned a tornado that killed one person and injured six others; heavy rainfall in the state also led to a death when a driver hydroplaned into a tree."
10,The rainfall extended northeastward into Delaware.
11,Overall damage in the United States was estimated at $16 million.
12,"Helene emerged from North Carolina as a tropical storm, and re-intensified to near-hurricane strength before being absorbed by a cold front on September 25."
13,"-Meteorological history-
A tropical wave moved off the African coast on September 10."
14,"Shortly thereafter, it lost most of its atmospheric convection and initially showed few signs of development as it moved westward."
15,"On September 14, convection reformed near the center of the system."
16,"It continued to organize, and the next day the National Hurricane Center(NHC) classified it as Tropical Depression Twelve."
17,"At the time, it was located 470 mi(765 km) east of the Leeward Islands."
18,"By this point, the depression had a weak circulation and ragged convection."
19,"An anticyclone to its north caused the depression to move generally to the west, and upper-level conditions were forecast to be favorable for intensification."
20,"However, the circulation moved away from the main area of convection before a Hurricane Hunters flight indicated that the depression degenerated into a tropical wave on September 16."
21,"Although there was not a closed circulation, the flight observed flight-level winds of 65 mph(105 km/h) to the north and east of the system."
22,"The remnants of the depression continued westward, moving through the Lesser Antilles on September 17."
23,"Despite favorable conditions for redevelopment including low wind shear and warm ocean temperatures, the system remained a tropical wave as it moved across the Caribbean Sea."
24,"Late on September 19, another reconnaissance plane discovered a closed circulation to the northwest of Grand Cayman."
25,"Although there was minimal convection near the center, it organized enough to be re-classified as a tropical depression."
26,"Upon redeveloping, the depression was moved west-northwestward around a large anticyclone to the east of Florida."
27,"Its circulation was broad, though the NHC anticipated further strengthening."
28,"Conditions remained favorable for intensification, but instead the depression weakened as it approached Cuba."
29,"Around 1200 UTC on September 20, it moved across the western tip of Cuba into the Gulf of Mexico with minimal thunderstorms near the center."
30,"A few hours later, the NHC noted that ""the cyclone [was] on the verge of breaking open into an east-west oriented trough""."
31,"The agency did not discontinue advisories due to an increase in convection near the center, although no intensification was expected."
32,"However, the system's circulation and convection became better organized, and early on September 21 the NHC upgraded the depression to Tropical Storm Helene."
33,"Upon becoming a tropical storm, Helene gradually turned to the north while rounding an anticyclone to its east."
34,"It rapidly intensified after its upgrade, and reached its peak intensity of 70 mph(110 km/h) late on September 21."
35,"The storm was small with an asymmetric wind field, and wind shear displaced the circulation from the deep convection."
36,"Increasing wind shear prevented Helene from attaining hurricane status, and the storm began weakening on September 22 as it approached the northern Gulf Coast."
37,"By 0900 UTC that day, strong wind shear moved the convection away from the center and toward the north and northeast."
38,"This prompted NHC forecaster Lixion Avila to remark, ""If I did not have a reconnaissance plane in the area, I would not know there was a tropical cyclone by just observing IR satellite imagery."""
39,"The storm made landfall near Fort Walton Beach, Florida at 1200 UTC on September 22 after weakening from its peak intensity to winds of 40 mph(64 km/h)."
40,"After moving ashore, an area of convection redeveloped over Helene's center and the circulation became well-defined on radar imagery."
41,"The storm accelerated to the northeast into the Westerlies, and about six hours following its landfall, Helene weakened to tropical depression status after crossing into southeastern Alabama."
42,"A few hours later, the NHC issued the last advisory on the system and transferred warnings to the Hydrometeorological Prediction Center."
43,"Hurricane forecast models anticipated restrengthening, and due to the forecast track north of the Gulf Stream, the NHC predicted intensification as an extratropical cyclone."
44,The agency noted that 1997's Tropical Storm Danny re-intensified in the same region as a tropical cyclone.
45,"Despite strong wind shear, convection increased over Helene's center as the storm moved through North Carolina."
46,Stations along the Outer Banks reported sustained winds up to 59 mph(95 km/h).
47,Satellite imagery and buoy data indicated that Helene re-intensified into a tropical storm inland over North Carolina.
48,"The storm emerged from the Virginia coast into an area of less wind shear, where conditions were thus more favorable for strengthening."
49,"The storm became compact over the northern Atlantic Ocean, with a diameter of 140 mi(230 km)."
50,"Strong convection developed over the center on September 24, and the following day Helene re-attained its peak intensity of 70 mph(110 km/h) while southeast of Nova Scotia."
51,"The wind estimate was based on observations from the Neptune Olivine, a nearby ship that recorded 64 mph(103 km/h) winds and a barometric pressure of 988 mbar(29.2 inHg); because the ship was located to the south of the center, the storm's minimum pressure was estimated at 986 mbar(29.1 inHg)."
52,"Helene continued moving rapidly to the east-northeast, and late on September 25 dissipated as it was absorbed by a cold front."
53,"-Preparations and impact-
--Caribbean--
When Tropical Depression Twelve first formed, several governments across the Lesser Antilles issued a tropical storm watch, including the SSS islands, Antigua and Barbuda, Anguilla, Montserrat, and Saint Kitts and Nevis."
54,The watch was discontinued after the depression degenerated into a tropical wave.
55,"As a tropical wave, Helene moved through the Lesser Antilles with strong winds; gusts on Guadeloupe reached 55 mph(89 km/h)."
56,"The system also produced heavy rainfall, reaching 3.14 in(80 mm) on Antigua."
57,The wave passed to the south of Puerto Rico on September 17 and 18.
58,"Across the southern and eastern portion of the island, the system produced 6 to 12 in(150 to 300 mm) of rainfall, which resulted in flash flooding and mudslides."
59,"One house was destroyed and more than 100 houses were affected in Ponce, forcing several families to evacuate."
60,The flooding also destroyed a bridge in Guayama and made many roads impassable.
61,"Damage on the island was estimated at $100,000(2000 USD)."
62,"After the system redeveloped into a tropical depression, the government of Cuba issued a tropical storm warning for the provinces of Isla de la Juventud, Havana, and Pinar del Río, as well as for the city of Havana."
63,"--United States--
About 21 hours before Helene made landfall, the NHC issued a tropical storm warning from the border of Louisiana and Mississippi to the mouth of the Aucilla River along the Florida Panhandle."
64,"Six hours later, the agency also issued a hurricane watch from the border of Florida and Alabama to the mouth of the Aucilla River."
65,"The day before the storm moved ashore, local American Red Cross chapters had 18 emergency shelters on standby to house storm evacuees."
66,One shelter opened in Tallahassee and one in Apalachicola.
67,About 130 people evacuated to shelters in the western portion of the Florida panhandle and planes evacuated military bases in the region.
68,"Government buildings were closed in Okaloosa, and schools were closed in Okaloosa, Walton, and Santa Rosa counties."
69,"Despite being a weak tropical cyclone at landfall, Tropical Storm Helene caused $16 million in damage(2000 USD)."
70,"In Alabama, wind gusts reached 36 mph(58 km/h) at Brookley Air Force Base in Mobile; the same station recorded the highest rainfall in the state, with a total of 1.08 in(27 mm)."
71,The storm also caused minor beach erosion and coastal damage along Dauphin Island.
