index,sentences
0,The 1933 Texas tropical storm produced record rainfall in the south-central United States in July of the 1933 Atlantic hurricane season.
1,"It was the third storm of the season, developing on July 14 near the Lesser Antilles."
2,"While moving westward through the Caribbean Sea, the cyclone passed just south of Jamaica on July 16."
3,The storm dropped heavy rainfall on the island that caused flooding and road washouts.
4,"On July 18, the storm struck Belize and later moved across the Yucatán Peninsula."
5,"Initially it was believed that the storm continued into Mexico and dissipated while another storm formed to its northeast, but it was discovered in 2012 that the storm followed one continuous track."
6,"On July 23, the storm struck southeastern Texas at its peak intensity of 50 mph(85 km/h)."
7,It moved inland and transitioned into an extratropical cyclone.
8,"Turning eastward, the storm dropped torrential rainfall in eastern Texas and western Louisiana, peaking at 21.3 in(540 mm) in Logansport, Louisiana."
9,"Several stations reported record rainfall, including Shreveport, Louisiana where its 24‑hour amount remained the highest daily total as of 2008."
10,High rains left about $1.5 million in crop damage between two Texas counties.
11,"The rains caused rivers to exceed their banks, forcing evacuations and road closures."
12,"-Meteorological history-
On July 14, a tropical depression developed near Saint Kitts."
13,"Initially it moved west-northwestward before turning to the west, and on July 15 it passed south of Hispaniola."
14,"That day, ships in the region confirmed the presence of a closed circulation."
15,"The depression was assessed to have intensified into a tropical storm at 0000 UTC on July 16, before passing just south of Jamaica later that day."
16,"After affecting the island, the storm turned to the west-southwest, reaching peak winds of 50 mph(85 km/h) early on July 18."
17,"Later that day, a ship reported a pressure of 995 mbar(29.4 inHg), which was adjusted to 999 mbar(29.5 inHg) to compensate a bias in the ship's barometer."
18,"Around 1500 UTC on July 18, the storm made landfall near Belize City, British Honduras, at its peak intensity."
19,"After moving ashore, the storm quickly weakened into a tropical depression while crossing the Yucatán Peninsula."
20,"Late on July 19, it emerged into the Bay of Campeche."
21,"It turned to the northwest due to a ridge moving eastward, and the system re-intensified into a tropical storm on July 21."
22,"At around 0800 UTC on July 23, the storm moved ashore on Matagorda Bay in southeastern Texas with winds of about 45 mph(75 km/h)."
23,"The storm again weakened to a tropical depression shortly after landfall, before turning to the north and north-northeast."
24,"On July 24, the cyclone began interacting with a cold front, and became extratropical."
25,It tracked slowly eastward across eastern Texas and northern Louisiana due to a high pressure area to the north.
26,"It later moved along the Mississippi River, and early on July 27, the front absorbed the depression along the border of Arkansas and Mississippi."
27,"-Impact-
While passing south of Jamaica, the storm produced the heavy rainfall in the month of July in at least 40 years, which overflowed rivers."
28,"Both Kingston and Saint Andrew Parish reported 9 in(230 mm), causing flooding and landslides."
29,"The storm washed out roads, most of them unpaved, and one bridge was wrecked; this disrupted the regional transportation."
30,The storm also cut telegraph lines between Kingston and the eastern portion of the island.
31,"It later moved across Belize and the Yucatán Peninsula, although no stations reported gale-force winds or low pressures."
32,"Despite being a weak tropical cyclone, the storm dropped heavy rainfall in eastern Texas and northwestern Louisiana."
33,"Some areas received 5.9 in(150 mm) in as little as six hours, and about 50,000 sq mi(130,000 km2) reported 10.4 in(260 mm)."
34,"The highest rainfall total was 21.3 in(540 mm) in Logansport, Louisiana."
35,"As of 2009, this was the seventh highest total on record in the state, although three of the amounts were from the same storm."
36,"Logansport also reported a 24‑hour total of 18 in(460 mm), which set the record for the highest daily rainfall total there in July."
37,"A secondary rainfall maxima of 19.4 in(490 mm) was observed in Shreveport, of which 12.4 in(310 mm) of rain fell in 24 hours; this was the highest daily total on record for the site, and remains the highest as of 2008."
38,Alexandria also broke its 24‑hour rainfall record in July with a total of 9.75 in(248 mm) on July 25.
39,Heavy rains spread into southern Arkansas and northwestern Mississippi.
40,"High rains in eastern Texas, totaling over 10 in(250 mm), flooded roads in Shelby and Panola counties; damage in the two counties collectively totaled $1.5 million."
41,Storm-related flooding washed out a bridge in Henderson and portions of the Santa Fe Railway line between Carthage and Longview.
42,Five people required rescue after being trapped in a fast-moving river.
43,"The rains in the region were considered the heaviest in 17 years, and leaving severe damage to corn, cotton, and watermelon crops."
44,"Similarly, the floods damaged cotton and other crops in northern Louisiana, totaling several million dollars in losses."
45,"The rains caused many streams to exceed their banks, including one creek near Converse that flooded roads and railways."
46,The floods forced families to evacuate in low-lying areas of northern Louisiana.
47,The rainfall in Shreveport caused the worst floods related to a tropical cyclone on record.
48,"While the storm was dropping heavy rainfall, it produced thunderstorms and gusty winds along the Texas and Louisiana coastlines."
49,"A severe thunderstorm related to the storm damaged roofs and windows in Alexandria, Louisiana."
50,"-Notes-

== References =="
